Documento 0:
Índice	Término			TF	IDF	TF-IDF
85	guava			0	1.00000	0.00000	
86	mango			0	1.00000	0.00000	
87	giving			0	1.00000	0.00000	
88	way			0	1.00000	0.00000	
89	to			0	0.52288	0.00000	
90	slightly		0	1.00000	0.00000	
91	astringent		0	1.00000	0.00000	
92	semidry			0	1.00000	0.00000	
93	finish			0	0.69897	0.00000	
94	much			0	0.69897	0.00000	
95	like			0	1.00000	0.00000	
96	regular			0	1.00000	0.00000	
97	bottling		0	1.00000	0.00000	
98	2012			0	1.00000	0.00000	
99	comes			0	1.00000	0.00000	
100	across			0	1.00000	0.00000	
101	as			0	1.00000	0.00000	
102	rather			0	1.00000	0.00000	
103	rough			0	1.00000	0.00000	
104	tannic			0	1.00000	0.00000	
105	rustic			0	1.00000	0.00000	
106	earthy			0	1.00000	0.00000	
107	herbal			0	0.69897	0.00000	
108	characteristics		0	1.00000	0.00000	
109	nonetheless		0	1.00000	0.00000	
110	if			0	1.00000	0.00000	
111	you			0	1.00000	0.00000	
112	think			0	1.00000	0.00000	
113	pleasantly		0	1.00000	0.00000	
114	unfussy			0	1.00000	0.00000	
115	country			0	1.00000	0.00000	
116	good			0	1.00000	0.00000	
117	companion		0	1.00000	0.00000	
118	hearty			0	1.00000	0.00000	
119	winter			0	1.00000	0.00000	
120	stew			0	1.00000	0.00000	
121	blackberry		0	1.00000	0.00000	
122	raspberry		0	1.00000	0.00000	
123	show			0	1.00000	0.00000	
124	typical			0	1.00000	0.00000	
125	navarran		0	1.00000	0.00000	
126	whiff			0	1.00000	0.00000	
127	herbs			0	1.00000	0.00000	
128	in			0	0.52288	0.00000	
129	case			0	1.00000	0.00000	
130	horseradish		0	1.00000	0.00000	
131	mouth			0	1.00000	0.00000	
132	fairly			0	1.00000	0.00000	
133	full			0	1.00000	0.00000	
134	bodied			0	1.00000	0.00000	
135	tomatoey		0	1.00000	0.00000	
136	spicy			0	1.00000	0.00000	
137	complement		0	1.00000	0.00000	
138	dark			0	1.00000	0.00000	
139	plum			0	1.00000	0.00000	
140	fresh			0	0.39794	0.00000	
